type,size,avgCompress(ms),avgDecompress(ms),avgGet(ns),ratio,tCrit(µs)
uniform,nooverlap,1000,0.019,0.018,39.2,0.500000,0.001
uniform,nooverlap,10000,0.041,0.028,29.8,0.500000,0.001
uniform,nooverlap,100000,0.156,0.173,17.6,0.500000,0.007
uniform,nooverlap,1000000,1.431,1.672,18.4,0.500000,0.062
uniform,nooverlap,10000000,14.547,15.222,22.7,0.500000,0.595
uniform,overlap,1000,0.030,0.032,53.6,0.407000,0.001
uniform,overlap,10000,0.043,0.036,23.9,0.406300,0.001
uniform,overlap,100000,0.106,0.106,22.8,0.406250,0.004
uniform,overlap,1000000,0.903,1.011,25.3,0.406250,0.032
uniform,overlap,10000000,9.085,10.446,27.3,0.406250,0.329
uniform,overflow,1000,0.130,0.048,3344.9,0.407000,0.003
uniform,overflow,10000,0.536,0.049,9716.5,0.406300,0.010
uniform,overflow,100000,6.640,0.337,61416.8,0.500000,0.140
uniform,overflow,1000000,47.703,3.338,1033072.4,0.593750,1.256
uniform,overflow,10000000,486.832,35.908,11270200.5,0.687500,16.728
